sent,,107216110,freedom,22 Mar 2011 23:47:11 GMT,60202,118235,52102
sent,,107216110,internet,22 Mar 2011 23:47:11 GMT,60202,118235,52102
sent,,107216110,twitter,22 Mar 2011 23:47:11 GMT,60202,118235,52102
sent,,107216110,facebook,22 Mar 2011 23:47:11 GMT,60202,118235,52102
sent,,107216110,government,22 Mar 2011 23:47:11 GMT,60202,118235,52102
sent,,107216110,corruption,22 Mar 2011 23:47:12 GMT,60202,118235,52102
start,60202,118235,52102,22 Mar 2011 23:47:12 GMT,,,
sent,,107216110,this is a default list,22 Mar 2011 23:47:12 GMT,60202,118235,52102
sent,,107216110,"feel free to edit, update or remove",22 Mar 2011 23:47:12 GMT,60202,118235,52102
sent,,107216110,protest,22 Mar 2011 23:47:12 GMT,60202,118235,52102
sent,,107216110,activist,22 Mar 2011 23:47:12 GMT,60202,118235,52102
sent,,107216110,human rights,22 Mar 2011 23:47:12 GMT,60202,118235,52102
sent,,107216110,freedom,22 Mar 2011 23:47:13 GMT,60202,118235,52102
sent,,107216110,internet,22 Mar 2011 23:47:13 GMT,60202,118235,52102
sent,,107216110,twitter,22 Mar 2011 23:47:13 GMT,60202,118235,52102
sent,,107216110,facebook,22 Mar 2011 23:47:13 GMT,60202,118235,52102
sent,,107216110,government,22 Mar 2011 23:47:13 GMT,60202,118235,52102
sent,,107216110,corruption,22 Mar 2011 23:47:13 GMT,60202,118235,52102
sent,,107216110,free speech,22 Mar 2011 23:47:13 GMT,60202,118235,52102
sent,,107216110,revolution,22 Mar 2011 23:47:13 GMT,60202,118235,52102
start,60202,118235,52102,22 Mar 2011 23:47:13 GMT,,,
sent,,107216110,this is a default list,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,"feel free to edit, update or remove",22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,protest,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,activist,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,human rights,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,freedom,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,internet,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,twitter,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,facebook,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,government,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,corruption,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,free speech,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,revolution,22 Mar 2011 23:47:14 GMT,60202,118235,52102
sent,,107216110,this is a default list,22 Mar 2011 23:47:14 GMT,60202,118235,52102
start,60202,118235,52102,22 Mar 2011 23:47:14 GMT,,,
sent,,107216110,this is a default list,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,"feel free to edit, update or remove",22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,protest,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,activist,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,human rights,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,freedom,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,internet,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,twitter,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,facebook,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,government,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,corruption,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,free speech,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,revolution,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,this is a default list,22 Mar 2011 23:47:15 GMT,60202,118235,52102
sent,,107216110,"feel free to edit, update or remove",22 Mar 2011 23:47:15 GMT,60202,118235,52102
start,60202,118235,52102,22 Mar 2011 23:47:15 GMT,,,
sent,,107216110,this is a default list,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,"feel free to edit, update or remove",22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,protest,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,activist,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,human rights,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,freedom,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,internet,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,twitter,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,facebook,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,government,22 Mar 2011 23:47:16 GMT,60202,118235,52102
sent,,107216110,corruption,22 Mar 2011 23:47:16 GMT,60202,118235,52102
